Query	invertebrates-Sbjct	E-value	non_invertebrates-Sbjct	E-value	
DdB|DdB_09479	XP_022317055.1	7.37e-10	WP_043857945.1	0.0
DdB|DdB_09482	XP_065181772.1	6.85e-07	WP_237984016.1	0.0
DdB|DdB_09484	XP_065071290.1	2.37e-43	WP_341116210.1	0.0
DdB|DdB_09489	XP_066138287.1	3.34e-13	WP_003244397.1	1.27e-148
DdB|DdB_09491	XP_063590122.1	4.42e-07	WP_003244106.1	2.14e-104
DdB|DdB_09509	XP_041367388.1	1.56e-19	WP_014479107.1	0.0
DdB|DdB_09522	XP_028403292.1	7.76e-06	WP_160243300.1	0.0
DdB|DdB_09528	XP_049848085.1	7.38e-09	WP_131227191.1	0.0
DdB|DdB_09530	XP_017879985.1	1.71e-30	WP_131227190.1	0.0
DdB|DdB_09537	XP_014367619.2	9.11e-07	WP_003219442.1	6.77e-63
DdB|DdB_09540	XP_022340321.1	7.16e-09	WP_342006826.1	0.0
DdB|DdB_09547	XP_038059895.1	3.72e-11	WP_015252646.1	0.0
DdB|DdB_09551	XP_066251592.1	5.56e-140	WP_306290037.1	0.0
DdB|DdB_09552	XP_066251633.1	5.81e-44	WP_017695638.1	0.0
DdB|DdB_09553	XP_066251633.1	2.86e-17	WP_330943649.1	4.09e-128
DdB|DdB_09554	XP_011332505.2	4.07e-21	WP_029726600.1	1.65e-147
DdB|DdB_09556	XP_011860385.1	1.82e-146	WP_003233955.1	0.0
DdB|DdB_09560	XP_055388515.1	6.54e-46	WP_247471325.1	0.0
DdB|DdB_09566	XP_049848937.1	2.11e-18	WP_015382984.1	0.0
DdB|DdB_09575	XP_028517117.1	3.04e-09	WP_217020582.1	0.0
DdB|DdB_09576	XP_028516940.1	2.27e-18	WP_003244029.1	0.0
DdB|DdB_09582	XP_037929381.1	2.04e-16	WP_167407995.1	1.67e-136
DdB|DdB_09584	XP_067128516.1	1.84e-06	WP_220396851.1	0.0
DdB|DdB_09599	XP_014289360.1	4.06e-66	WP_282894117.1	6.04e-142
DdB|DdB_09602	XP_059093337.1	2.99e-53	WP_339247236.1	0.0
DdB|DdB_09603	XP_031776076.1	1.21e-29	WP_032730598.1	3.55e-128
DdB|DdB_09604	XP_031776064.1	1.69e-06	WP_268291519.1	3.81e-65
DdB|DdB_09605	XP_023226611.1	1e-12	WP_015252690.1	1.18e-70
DdB|DdB_09607	XP_022783789.1	8.77e-07	WP_251199387.1	0.0
DdB|DdB_09608	XP_052230668.1	5.05e-10	WP_342006750.1	0.0
DdB|DdB_09610	NP_001310081.1	8.6e-23	WP_213383850.1	0.0
DdB|DdB_09617	XP_046555642.1	4.59e-06	WP_342006754.1	0.0
DdB|DdB_09624	XP_066252009.1	9.09e-07	WP_015715315.1	6.9e-100
DdB|DdB_09630	XP_049848937.1	1.07e-25	WP_070548618.1	0.0
DdB|DdB_09633	XP_038076232.1	1.69e-09	WP_213414853.1	0.0
DdB|DdB_09644	XP_067661471.1	5.22e-13	WP_015252732.1	2.65e-145
DdB|DdB_09647	XP_060552172.1	3.2e-17	WP_029317363.1	9.49e-139
DdB|DdB_09654	XP_037775013.1	1.07e-19	WP_014478948.1	1.32e-80
DdB|DdB_09658	XP_006818622.1	2.39e-06	WP_038428392.1	9.54e-171
DdB|DdB_09659	XP_022778145.1	2.36e-12	WP_080480997.1	1.51e-85
DdB|DdB_09664	XP_052766287.1	2.65e-43	WP_163190406.1	0.0
DdB|DdB_09667	XP_029673967.1	3.81e-09	WP_257986438.1	2.55e-157
DdB|DdB_09676	XP_063901452.1	5.26e-09	WP_015252768.1	8.69e-82
DdB|DdB_09677	XP_059082040.1	2.49e-13	WP_306289160.1	5.52e-104
DdB|DdB_09679	XP_037929909.1	1.94e-104	WP_268359150.1	0.0
DdB|DdB_09682	XP_014673604.1	8.88e-13	WP_003234326.1	2.72e-73
DdB|DdB_09683	XP_049848937.1	2.6e-23	WP_326228427.1	0.0
DdB|DdB_09684	XP_025413651.1	2.86e-26	WP_326228426.1	0.0
DdB|DdB_09686	XP_027235138.1	4.84e-37	WP_024572052.1	0.0
DdB|DdB_09695	XP_065582540.1	1.4e-23	WP_003246542.1	9.92e-80
DdB|DdB_09720	XP_022778743.1	3.51e-35	WP_003246590.1	0.0
DdB|DdB_09728	XP_064633098.1	2.67e-27	WP_349612183.1	2.3e-151
DdB|DdB_09730	XP_022778878.1	5.41e-07	WP_003246580.1	1.59e-90
DdB|DdB_09732	XP_039275849.1	2.73e-17	WP_213382623.1	7.49e-65
DdB|DdB_09733	XP_039275849.1	9e-54	WP_257986424.1	6.21e-127
DdB|DdB_09734	XP_003738667.3	1.56e-16	WP_029946494.1	0.0
DdB|DdB_09740	XP_042882868.1	1.44e-47	WP_003246720.1	0.0
DdB|DdB_09744	XP_046659810.1	8.06e-13	WP_033882227.1	5.29e-77
DdB|DdB_09751	XP_037930208.1	6.8e-16	WP_326224767.1	5.81e-149
DdB|DdB_09768	XP_066251546.1	9.07e-40	WP_153257247.1	0.0
DdB|DdB_09774	XP_045446944.1	2.42e-20	WP_047182079.1	8e-129
DdB|DdB_09777	XP_046330927.2	2.72e-10	WP_328568548.1	0.0
DdB|DdB_09778	XP_064608194.1	4.53e-25	WP_213419538.1	5.43e-146
DdB|DdB_09790	XP_014680465.1	2.24e-12	WP_128473581.1	0.0
DdB|DdB_09795	XP_060085286.1	1.71e-104	WP_342006784.1	0.0
DdB|DdB_09806	XP_060084815.1	6.52e-24	WP_187954540.1	1.05e-163
DdB|DdB_09808	XP_032796191.2	7.01e-06	WP_128992384.1	1.99e-95
DdB|DdB_09815	XP_055868044.1	7.87e-85	WP_125121472.1	0.0
DdB|DdB_09822	XP_040564735.1	5.27e-13	WP_237983793.1	3.12e-134
DdB|DdB_09832	XP_044741682.1	1.58e-66	WP_144483791.1	1.69e-169
DdB|DdB_09834	XP_051163974.1	5.28e-23	WP_043940044.1	0.0
DdB|DdB_09840	XP_037930208.1	4.45e-123	WP_340957691.1	0.0
DdB|DdB_09842	XP_064600273.1	6.98e-06	WP_160221325.1	4.59e-142
DdB|DdB_09844	XP_013395159.1	2.02e-08	WP_029878388.1	2.28e-46
DdB|DdB_09852	XP_037773150.1	1.44e-21	WP_249851271.1	7.8e-179
DdB|DdB_09853	XP_037929382.1	4.82e-163	WP_285300052.1	0.0
DdB|DdB_09854	XP_042882868.1	7.11e-36	WP_161476482.1	4.53e-153
DdB|DdB_09855	XP_021921741.1	4.05e-08	WP_015715201.1	0.0
DdB|DdB_09863	XP_027235138.1	2.79e-23	WP_160831800.1	1.4e-77
DdB|DdB_09865	XP_060085882.1	6.8e-08	WP_342006794.1	0.0
DdB|DdB_09882	XP_027235138.1	4.68e-37	WP_342006797.1	0.0
DdB|DdB_09888	XP_064401517.1	3.87e-09	WP_342006800.1	0.0
DdB|DdB_09892	XP_002734184.1	2.61e-12	WP_326237408.1	2.74e-50
DdB|DdB_09896	XP_052788576.1	1.24e-51	WP_032724836.1	0.0
DdB|DdB_09897	XP_011862180.1	1.28e-33	WP_257986390.1	0.0
DdB|DdB_09901	XP_066918701.1	1.01e-26	WP_017694991.1	7.19e-65
DdB|DdB_09907	XP_023335860.1	3.07e-34	WP_213382895.1	1.15e-163
DdB|DdB_09908	XP_055346070.1	1.97e-10	WP_131227068.1	0.0
DdB|DdB_09909	XP_002426869.1	1.57e-18	WP_106074137.1	0.0
DdB|DdB_09911	XP_064608804.1	1.04e-08	WP_080528865.1	0.0
DdB|DdB_09913	XP_023932668.1	1.9e-24	WP_003234870.1	0.0
DdB|DdB_09920	XP_058955019.2	2.3e-15	WP_161477138.1	0.0
DdB|DdB_09921	XP_031556499.1	9.56e-12	WP_161476496.1	3.94e-179
DdB|DdB_09925	XP_057303639.1	2.24e-07	WP_160832183.1	2.71e-174
DdB|DdB_09927	XP_032219168.2	6.79e-12	WP_161476497.1	3.71e-99
DdB|DdB_09934	XP_045094949.1	1.13e-19	WP_003234892.1	0.0
DdB|DdB_09940	XP_054274595.1	7.08e-06	WP_003246471.1	0.0
DdB|DdB_09943	XP_045503365.1	1.05e-06	WP_326198420.1	3.67e-91
DdB|DdB_09945	XP_060084508.1	7.9e-86	WP_003234946.1	0.0
DdB|DdB_09951	XP_031776082.1	1.14e-18	WP_003234968.1	0.0
DdB|DdB_09959	XP_040582638.1	1.95e-12	WP_342006808.1	3.26e-166
DdB|DdB_09960	XP_065829109.1	2.13e-07	WP_131227038.1	1.51e-164
DdB|DdB_09961	XP_060600114.1	4.44e-06	WP_342006812.1	0.0
DdB|DdB_09962	XP_027235155.1	1.15e-30	WP_241495725.1	0.0
DdB|DdB_09968	XP_044573736.1	8.89e-13	WP_247471107.1	6.6e-126
DdB|DdB_09973	XP_011861219.1	1.19e-48	WP_332603839.1	2.7e-66
DdB|DdB_09974	XP_062505721.1	3.36e-25	WP_041850240.1	5.28e-167
DdB|DdB_09981	XP_023226512.1	4.03e-45	WP_121591368.1	6.79e-162
DdB|DdB_09982	XP_020613924.1	7.27e-08	WP_003225816.1	1.19e-79
DdB|DdB_09983	XP_023226513.1	2.5e-49	WP_003241996.1	2.12e-123
DdB|DdB_09984	XP_064406377.1	4.16e-06	WP_003241998.1	9.93e-84
DdB|DdB_09985	XP_023228518.1	1.83e-11	WP_250621884.1	1.67e-78
DdB|DdB_09986	XP_061942865.1	1.41e-34	WP_003225805.1	8.6e-81
DdB|DdB_09987	XP_023226634.1	7.02e-36	WP_003225801.1	3.85e-85
DdB|DdB_09988	XP_023226634.1	5.48e-46	WP_003235068.1	1.99e-146
DdB|DdB_09993	XP_049837210.1	1.11e-06	WP_131226981.1	1.29e-134
DdB|DdB_09997	XP_018646130.1	9.63e-06	WP_003225778.1	1.69e-47
DdB|DdB_10000	XP_032239578.1	1.45e-07	WP_003235042.1	1.44e-112
DdB|DdB_10005	XP_034839879.1	1.16e-39	WP_323217032.1	2.75e-105
DdB|DdB_10011	XP_027235140.1	1.45e-128	WP_257986363.1	0.0
DdB|DdB_10013	XP_057671197.1	8.17e-19	WP_336156437.1	0.0
DdB|DdB_10018	XP_023226578.1	4.13e-43	WP_332603921.1	7.71e-154
DdB|DdB_10019	XP_034839856.1	5.32e-53	WP_080528827.1	1.9e-171
DdB|DdB_10023	XP_004211255.3	2.76e-23	WP_003226685.1	0.0
DdB|DdB_10025	XP_049848842.1	4.97e-48	WP_272515816.1	0.0
DdB|DdB_10026	XP_064066599.1	3.84e-90	WP_003218399.1	0.0
DdB|DdB_10029	XP_060084507.1	3.09e-44	WP_332603847.1	1.17e-139
DdB|DdB_10031	XP_037044208.1	4.89e-51	WP_342006841.1	5.13e-124
DdB|DdB_10032	XP_065845098.1	8.09e-19	WP_342006842.1	0.0
DdB|DdB_10043	XP_014680355.1	4.16e-14	WP_348650868.1	9.71e-81
DdB|DdB_10044	XP_066913765.1	2.6e-34	WP_003226727.1	2.83e-135
DdB|DdB_10045	XP_011861214.1	1.49e-24	WP_043940261.1	4.59e-145
DdB|DdB_10046	XP_064401827.1	2.69e-101	WP_003218353.1	0.0
DdB|DdB_10050	XP_060084660.1	1.12e-09	WP_003218342.1	0.0
DdB|DdB_10051	XP_062516720.1	1.37e-35	WP_003226742.1	0.0
DdB|DdB_10052	XP_020307233.1	6.93e-22	WP_272512147.1	1.31e-145
DdB|DdB_10059	XP_037775074.1	3.79e-51	WP_332603922.1	2.27e-125
DdB|DdB_10060	XP_067132308.1	6.7e-08	WP_103330282.1	3.2e-96
DdB|DdB_10062	XP_022778676.1	9.93e-34	WP_162105868.1	5.65e-132
DdB|DdB_10071	XP_037929147.1	5.63e-34	WP_277736850.1	0.0
DdB|DdB_10073	XP_002110220.1	6.27e-24	WP_212059417.1	9.38e-108
DdB|DdB_10074	XP_065832919.1	2.33e-35	WP_014478585.1	6.28e-162
DdB|DdB_10076	XP_050410834.1	2.88e-38	WP_029726364.1	5.91e-140
DdB|DdB_10081	XP_027235132.1	3.7e-28	WP_268328173.1	3.39e-56
DdB|DdB_10087	XP_066251558.1	5.69e-79	WP_042976988.1	0.0
DdB|DdB_10090	XP_011861576.1	6.78e-11	WP_041337892.1	5.55e-89
DdB|DdB_10092	XP_058956664.2	2.56e-24	WP_147797792.1	6.86e-173
DdB|DdB_10250	XP_049840924.1	2.4e-19	WP_096035254.1	6.43e-13
DdB|DdB_10559	XP_064059989.1	5.84e-19	--	--
DdB|DdB_10674	XP_053391481.1	2.6e-52	WP_297330611.1	8.2e-73
DdB|DdB_10962	XP_045589220.1	1.4e-50	WP_207634960.1	5.97e-31
DdB|DdB_10963	XP_046340585.2	3.25e-109	WP_207634960.1	1.78e-53
DdB|DdB_11092	XP_001896419.1	0.0	XP_016611549.1	7.13e-119
DdB|DdB_11172	XP_046340585.2	2.58e-79	WP_207634960.1	5.89e-42
DdB|DdB_11173	XP_046340585.2	9.46e-84	XP_057548724.1	3.31e-33
DdB|DdB_11252	XP_063963308.1	4.38e-41	WP_207634960.1	9.56e-26
DdB|DdB_11337	XP_046340585.2	8.77e-60	WP_207634960.1	4.28e-37
DdB|DdB_11362	XP_042938085.1	3.82e-20	--	--
DdB|DdB_11407	XP_046340585.2	1.15e-95	XP_057252193.1	7.45e-49
DdB|DdB_11408	XP_045588048.1	4.02e-50	WP_207634960.1	3.61e-27
DdB|DdB_11410	XP_045588048.1	3.07e-59	WP_207634960.1	1.53e-32
DdB|DdB_11577	NP_499979.3	1.16e-18	--	--
DdB|DdB_11578	NP_500466.3	7.55e-17	NP_001105461.1	4.76e-14
DdB|DdB_11581	XP_002648965.1	1.51e-20	--	--
DdB|DdB_11715	XP_023214139.1	1.89e-17	XP_038921433.1	1.08e-15
DdB|DdB_11716	XP_021946510.1	6.35e-143	XP_051429928.1	6.92e-132
DdB|DdB_11719	XP_045590928.1	1.05e-128	WP_140711267.1	1.4e-54
DdB|DdB_11962	XP_052786108.1	9.19e-32	XP_057978549.1	9.69e-23
DdB|DdB_11980	XP_046340585.2	2.15e-41	WP_207634960.1	5.51e-23
DdB|DdB_11990	XP_026730214.1	1.85e-15	WP_323351722.1	2.4e-14
DdB|DdB_11998	XP_059163619.1	1.39e-31	WP_310225214.1	3.86e-18
DdB|DdB_12075	XP_063593165.1	6.56e-44	WP_207634960.1	1.35e-24
DdB|DdB_12102	XP_049832934.1	7.85e-09	--	--
DdB|DdB_12106	XP_046340585.2	6.97e-50	WP_207634960.1	6.03e-29
DdB|DdB_12108	XP_063593165.1	2.77e-45	WP_207634960.1	9e-27
DdB|DdB_12217	XP_021367590.1	5.98e-16	WP_071503096.1	2.3e-16
DdB|DdB_12218	XP_021367590.1	9.72e-57	XP_022973528.1	1.06e-32
DdB|DdB_12224	XP_060832142.1	8.52e-09	WP_203639973.1	2.47e-13
DdB|DdB_12248	XP_057310769.1	2.43e-17	XP_007151777.1	1.14e-08
DdB|DdB_12261	XP_058796990.1	1.88e-29	XP_024010377.1	9.47e-26
DdB|DdB_12412	XP_046340585.2	1.63e-99	WP_207634960.1	1.08e-48
DdB|DdB_12421	XP_001891577.1	3.46e-42	--	--
DdB|DdB_12425	XP_046340585.2	9.66e-34	WP_207634960.1	1.06e-20
DdB|DdB_12426	XP_045588048.1	2.04e-53	WP_207634960.1	1.84e-34
DdB|DdB_12544	XP_045609053.1	5.24e-98	WP_038698246.1	4.3e-37
DdB|DdB_12559	XP_046340585.2	3.72e-32	WP_207634960.1	2.77e-18
DdB|DdB_12560	XP_055356144.1	8.05e-17	XP_025354748.1	2.63e-13
DdB|DdB_12685	XP_045602445.1	1.37e-08	--	--
DdB|DdB_12705	XP_056006772.1	4.72e-14	WP_027087123.1	7.8e-09
DdB|DdB_12706	XP_059163619.1	8.05e-29	WP_310225214.1	6.76e-23
DdB|DdB_12707	XP_059163619.1	3.72e-40	WP_276351791.1	3.52e-27
DdB|DdB_12726	XP_064120701.1	4.65e-07	--	--
DdB|DdB_12744	XP_048258814.1	5.57e-09	--	--
DdB|DdB_12761	XP_020305916.1	1.9e-17	--	--
DdB|DdB_12900	XP_020307109.1	1.64e-53	--	--
DdB|DdB_12923	XP_048579010.1	5.56e-08	WP_276351791.1	3.59e-08
DdB|DdB_12958	XP_048241231.1	3.49e-11	XP_037426921.1	9.46e-06
DdB|DdB_12969	XP_046340585.2	1.2e-118	XP_057548724.1	3.18e-56
DdB|DdB_12981	XP_065284629.1	2.91e-06	--	--
DdB|DdB_13105	XP_064058620.1	1.74e-27	--	--
DdB|DdB_13127	XP_024505886.1	1.42e-13	--	--
DdB|DdB_13147	XP_042935852.1	2.83e-13	--	--
DdB|DdB_13315	XP_003112517.2	5.43e-07	--	--
DdB|DdB_13325	XP_042936516.1	3.03e-06	--	--
DdB|DdB_13341	XP_045590928.1	7.89e-61	WP_140711267.1	2.33e-63
DdB|DdB_13440	XP_045094157.1	3.1e-28	--	--
DdB|DdB_13519	XP_002636909.1	4.13e-13	WP_311558777.1	9.14e-09
DdB|DdB_13550	XP_046340585.2	1.52e-39	WP_207634960.1	1.65e-24
DdB|DdB_13720	XP_033726958.1	4.63e-13	--	--
DdB|DdB_13729	XP_048244373.1	1.16e-51	WP_235838199.1	5.07e-33
DdB|DdB_13793	XP_006824501.1	6.35e-30	WP_004759495.1	5.94e-17
DdB|DdB_13979	XP_042933584.1	4.2e-12	XP_042393478.1	1.66e-06
DdB|DdB_14004	XP_003138568.1	2.61e-78	--	--
DdB|DdB_14200	XP_002632330.1	1.6e-07	--	--
DdB|DdB_14210	XP_046340585.2	4.32e-120	WP_207634960.1	4.06e-54
DdB|DdB_14219	XP_045588048.1	9.28e-38	WP_207634960.1	1.83e-22
DdB|DdB_14244	XP_026819243.1	1.61e-15	XP_028053264.1	4.18e-12
DdB|DdB_14246	XP_048252898.1	3.69e-23	XP_007513597.1	5.41e-13
DdB|DdB_14249	XP_026819243.1	4.54e-16	XP_025652666.1	6.26e-11
DdB|DdB_14252	XP_064081014.1	2.29e-32	XP_028053264.1	3.54e-18
DdB|DdB_14264	XP_048252898.1	1.29e-16	XP_010505213.1	1.36e-10
DdB|DdB_14265	XP_003144024.1	5.14e-42	XP_064974235.1	1.13e-15
DdB|DdB_14266	XP_027843100.2	7.42e-13	XP_065013288.1	8.64e-08
DdB|DdB_14273	XP_027843100.2	2.34e-21	XP_028053264.1	3.29e-14
DdB|DdB_14291	XP_048248078.1	8.68e-43	WP_085214968.1	4.41e-32
DdB|DdB_14308	XP_067685150.1	1.47e-18	XP_038694331.1	3.33e-12
DdB|DdB_14331	XP_037033689.1	5.05e-09	WP_260907033.1	1.52e-47
DdB|DdB_14502	XP_053582244.1	3.4e-50	WP_288168733.1	3.23e-11
DdB|DdB_14553	XP_006824501.1	3.87e-18	WP_004759495.1	3.97e-17
DdB|DdB_14573	XP_046340585.2	5.02e-29	WP_075795102.1	2.2e-16
DdB|DdB_14574	XP_046340585.2	2.28e-76	XP_021716352.1	3.64e-41
DdB|DdB_14659	XP_045589220.1	5.8e-36	WP_207634960.1	1.91e-20
DdB|DdB_14790	XP_024503014.1	5.74e-26	--	--
DdB|DdB_14791	XP_024503014.1	2.07e-20	--	--
DdB|DdB_14817	XP_045622281.1	2.78e-68	WP_344092688.1	2.78e-58
DdB|DdB_14878	XP_046340585.2	7.57e-86	WP_207634960.1	2.49e-45
DdB|DdB_14889	XP_034943479.1	1.68e-66	XP_028768731.1	1.25e-57
DdB|DdB_14952	XP_045611309.1	1.59e-14	XP_057251321.1	1.59e-08
DdB|DdB_15049	XP_049845394.1	5.82e-16	WP_180000720.1	8.82e-20
DdB|DdB_15148	XP_065057699.1	8.28e-21	WP_187351258.1	5.2e-20
DdB|DdB_15174	XP_064037329.1	3.47e-25	--	--
DdB|DdB_15253	XP_064052887.1	1.36e-09	--	--
DdB|DdB_15258	XP_020305916.1	6.96e-06	--	--
DdB|DdB_15281	XP_045589220.1	9.61e-50	WP_318681279.1	2.88e-23
DdB|DdB_15309	XP_049786330.1	7.95e-67	WP_146120019.1	8.54e-27
DdB|DdB_15433	XP_064050562.1	9.54e-21	--	--
DdB|DdB_15556	XP_013299863.2	2.71e-32	XP_045283623.1	3.87e-25
DdB|DdB_15625	XP_017467946.1	6.61e-13	XP_018295005.1	1.08e-08
DdB|DdB_15653	XP_063412210.1	4.88e-06	--	--
DdB|DdB_15758	XP_046340585.2	4.21e-111	WP_207634960.1	5.72e-53
DdB|DdB_15986	NP_500884.2	2.31e-52	WP_027177745.1	3.55e-09
DdB|DdB_16078	XP_030750849.1	1.78e-22	XP_007509534.1	7.93e-10
DdB|DdB_16207	XP_046340585.2	9.68e-77	WP_207634960.1	9.48e-48
DdB|DdB_16226	XP_046340585.2	2.17e-49	WP_277036659.1	9.33e-27
DdB|DdB_16399	XP_064058893.1	4.02e-16	--	--
DdB|DdB_16410	XP_059471159.1	8.04e-21	WP_360382174.1	7.48e-22
DdB|DdB_16436	XP_055328339.1	1.27e-91	XP_051400183.1	8.8e-85
DdB|DdB_16437	XP_024506724.1	2.62e-124	XP_051435666.1	2.8e-108
DdB|DdB_16527	XP_063237857.1	3.78e-11	WP_242037827.1	3.35e-17
DdB|DdB_16531	XP_055353157.1	1.84e-63	WP_090471369.1	1.54e-116
DdB|DdB_16534	XP_031558595.1	3.34e-27	XP_052970646.1	4.79e-11
DdB|DdB_16535	XP_031558596.1	1.61e-26	XP_052970646.1	1.21e-10
DdB|DdB_16555	XP_020301926.1	8.13e-12	--	--
DdB|DdB_16562	XP_002118518.1	1.77e-12	XP_058180257.1	5.13e-09
DdB|DdB_16620	XP_024348875.1	8.17e-38	XP_031283763.1	1.3e-25
DdB|DdB_16648	XP_045588048.1	1.84e-47	WP_207634960.1	1.3e-25
DdB|DdB_16656	XP_047492086.1	6.79e-19	--	--
DdB|DdB_16694	XP_043271898.1	9.32e-08	XP_024046686.1	1.41e-06
DdB|DdB_16698	NP_001257143.1	2.32e-19	XP_024359021.1	6.78e-10
DdB|DdB_16758	XP_063544858.1	2.02e-45	XP_007508973.1	1.14e-29
DdB|DdB_16812	XP_023931981.1	2.25e-74	XP_064768321.1	3.28e-65
DdB|DdB_16951	XP_045594254.1	5.03e-07	--	--
DdB|DdB_16953	XP_047737118.1	2.44e-11	WP_338707411.1	5.79e-07
DdB|DdB_17056	XP_027041062.1	1.97e-18	XP_004296112.1	3.21e-09
DdB|DdB_17088	XP_021367590.1	2.76e-59	WP_276351791.1	6.56e-37
DdB|DdB_17089	XP_046340585.2	1.16e-97	WP_207634960.1	2.8e-47
DdB|DdB_17198	NP_001254395.1	3.62e-37	XP_067527336.1	1.23e-25
DdB|DdB_17205	XP_022671145.1	3.65e-18	WP_150075616.1	5.09e-10
DdB|DdB_17274	XP_024499255.1	1.47e-60	XP_057832175.2	3.91e-36
DdB|DdB_17285	XP_059150442.1	8.79e-58	WP_237096877.1	4.62e-26
DdB|DdB_17309	XP_064052887.1	2.68e-11	--	--
DdB|DdB_17326	XP_064069743.1	8.1e-08	--	--
DdB|DdB_17542	XP_055353157.1	3.53e-44	WP_343112713.1	4.11e-113
DdB|DdB_17623	XP_059163619.1	5.97e-24	WP_162107558.1	8.73e-11
DdB|DdB_17700	XP_023337844.1	2.79e-15	--	--
DdB|DdB_17701	XP_050685798.1	3.02e-28	WP_129325674.1	2.23e-21
DdB|DdB_17804	XP_045594222.1	1.41e-20	WP_371870967.1	5.52e-17
DdB|DdB_17825	XP_064092239.1	1.39e-06	--	--
DdB|DdB_17849	XP_046340585.2	3.06e-98	WP_207634960.1	1.37e-41
DdB|DdB_17854	XP_003372761.1	9.28e-08	--	--
DdB|DdB_17909	XP_052775583.1	2.18e-14	WP_294144674.1	1.48e-11
DdB|DdB_17927	XP_030846634.1	5.39e-06	--	--
DdB|DdB_17953	XP_017461755.1	7.12e-46	XP_066830351.1	1.92e-27
DdB|DdB_17961	XP_045097250.1	7.67e-15	--	--
DdB|DdB_17992	XP_006824501.1	1.31e-16	WP_004759495.1	4.2e-14
DdB|DdB_18020	XP_064120701.1	1.04e-07	--	--
DdB|DdB_18024	XP_053590020.1	9.43e-08	--	--
DdB|DdB_18029	XP_060607266.1	3.12e-08	--	--
DdB|DdB_18040	XP_027046182.1	3.52e-07	--	--
DdB|DdB_18043	XP_049831540.1	1.45e-08	--	--
DdB|DdB_18079	XP_063601975.1	7.09e-21	WP_197017115.1	1.83e-17
DdB|DdB_18187	XP_022691209.1	3.22e-25	XP_047983712.1	3.3e-23
DdB|DdB_18232	XP_067044873.1	4.82e-25	XP_051459604.1	1.2e-13
DdB|DdB_18365	XP_042930078.1	2.06e-20	--	--
DdB|DdB_18397	XP_047122047.1	4.88e-27	WP_370981756.1	2.33e-30
DdB|DdB_18404	XP_045589220.1	2.79e-22	WP_207634960.1	1.62e-07
DdB|DdB_18411	XP_015777933.1	9.73e-22	XP_017995276.1	4.64e-17
DdB|DdB_18413	XP_015777933.1	7.32e-18	XP_012844933.1	1.09e-16
DdB|DdB_18416	XP_058797002.1	8.41e-48	XP_050897214.1	3.78e-33
DdB|DdB_18429	XP_055891893.1	3.58e-76	WP_059266936.1	6.64e-67
DdB|DdB_18496	XP_003115984.2	7.66e-47	WP_041938040.1	4.12e-26
DdB|DdB_18518	XP_059171642.1	1.53e-53	XP_057252219.1	1.3e-33
DdB|DdB_18580	XP_003143525.1	2.42e-41	XP_066000804.1	1.28e-36
DdB|DdB_18620	XP_065224444.1	6.8e-22	XP_011086031.1	3.38e-20
DdB|DdB_18732	XP_024501037.1	5.8e-28	XP_052196801.1	7.77e-11
DdB|DdB_18769	XP_003150365.1	7.9e-38	--	--
DdB|DdB_18779	XP_064063090.1	1.3e-12	--	--
DdB|DdB_18817	NP_507186.3	5.58e-50	WP_163040707.1	3.18e-42
DdB|DdB_18851	XP_045593122.1	5.05e-59	WP_337674063.1	2.36e-33
DdB|DdB_18978	XP_002108656.1	9.57e-15	XP_042036577.1	8.38e-12
DdB|DdB_19003	XP_027843100.2	2.06e-25	XP_059427878.1	2.04e-19
DdB|DdB_19004	XP_053204086.1	8.93e-20	XP_031264045.1	1.89e-16
DdB|DdB_19006	XP_066960605.1	1.65e-28	XP_016271513.1	3.05e-19
DdB|DdB_19007	XP_063614861.1	1.38e-24	XP_016271513.1	8e-20
DdB|DdB_19009	XP_020610355.1	6.32e-24	XP_008660294.1	1.11e-17
DdB|DdB_19011	XP_027843100.2	1.73e-22	XP_028053264.1	1.47e-19
DdB|DdB_19102	XP_046340585.2	2.31e-94	WP_207634960.1	4.19e-56
DdB|DdB_19215	XP_026819243.1	7.85e-24	XP_040950089.1	3.1e-18
DdB|DdB_19216	XP_024503196.1	2.2e-33	XP_025189311.2	8.02e-22
DdB|DdB_19217	XP_034949459.1	5.01e-14	XP_025189311.2	3.38e-08
DdB|DdB_19218	XP_029844200.1	2.71e-20	XP_025189311.2	1.33e-08
DdB|DdB_19219	XP_046340585.2	3.5e-31	WP_255115252.1	3.19e-18
DdB|DdB_19220	XP_006824501.1	1.93e-28	WP_207634960.1	5e-15
DdB|DdB_19221	XP_046340585.2	1.06e-52	WP_207634960.1	2.05e-31
DdB|DdB_19223	XP_064640905.1	2.4e-48	XP_024400835.1	9.73e-30
DdB|DdB_19244	XP_061934959.1	3.32e-06	--	--
DdB|DdB_19264	XP_024505412.1	5.88e-09	--	--
DdB|DdB_19286	NP_496345.1	2.2e-08	--	--
DdB|DdB_19303	XP_055879373.1	6.21e-66	WP_172270945.1	2.5e-28
DdB|DdB_19366	XP_053630348.1	4.09e-34	WP_187345325.1	3.07e-25
DdB|DdB_19485	XP_024500163.1	1.31e-67	WP_231127429.1	1.83e-24
DdB|DdB_19495	XP_035233777.1	4.42e-21	--	--
DdB|DdB_19497	XP_064059334.1	1.77e-35	--	--
DdB|DdB_19529	XP_046340585.2	4.76e-70	WP_207634960.1	1.08e-43
